application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
GJ202526000016891,0.9835274,0.0,,0.00018751677349958164,"x_course_year,competitive_exam_year,competitive_exam_state"
TN202526000016901,0.96649617,0.0,,0.00021844908900125988,"x_course_year,age_at_registration,competitive_exam_year"
GJ202526000016942,0.95343757,0.0,,0.00029955478173736153,"permanent_pincode,c_institution_id,tution_fee"
BR202526000016976,0.97944874,2.0,X9,0.9320598029300188,"x_university_id,permanent_pincode,xii_university_id"
TN202526000017074,0.9350097,0.0,,0.0003547230419223842,"permanent_pincode,c_course_year,tution_fee"
BR202526000017092,0.9775087,2.0,X9,0.8256359576996891,"x_university_id,xii_university_id,x_course_year"
BR202526000017134,0.9766168,2.0,X9,0.914731225135497,"x_university_id,xii_university_id,x_course_year"
MH202526000017164,0.96418333,0.0,,0.0013306606587794715,"x_course_year,xii_university_id,permanent_pincode"
UP202526000017230,0.94014454,0.0,,0.0004360515435438317,"x_university_id,permanent_pincode,c_course_year"
WB202526000017295,0.9835388,0.0,,7.974320275319779e-05,"x_course_year,competitive_exam_year,x_university_id"
RJ202526000491872,0.97529364,0.0,,0.00014063874131494251,"x_course_year,permanent_pincode,x_university_id"
HR202526000017334,0.93089545,0.0,,0.0012676048032717342,"permanent_pincode,x_course_year,xii_university_id"
AS202526000017349,0.9672099,0.0,,0.09549882443195352,"x_course_year,age_at_registration,sub_district_id"
WB202526000515633,0.96941227,0.0,,0.0013632713698124386,"x_course_year,entitled_lumpsump_amount,permanent_pincode"
BR202526000017406,0.98352313,0.0,,0.39353538597337945,"x_university_id,permanent_pincode,xii_university_id"
KA202526000036778,0.97004414,0.0,,0.00011246937928525352,"x_course_year,competitive_exam_year,age_at_registration"
AS202526000009435,0.9792102,0.0,,0.0014890885002221542,"x_course_year,x_university_id,admission_fee"
KA202526000009433,0.9490286,0.0,,0.00029044952304882346,"c_course_year,permanent_pincode,entitled_lumpsump_amount"
AS202526000009501,0.9664904,0.0,,0.01651064083295197,"x_course_year,annual_family_income,flag_income_below_20000"
PB202526000009481,0.9734597,0.0,,0.0006886932875129834,"x_course_year,permanent_pincode,x_university_id"
TN202526000945094,0.9609635,0.0,,0.00047354782517513346,"x_course_year,age_at_registration,x_university_id"
GJ202526000009494,0.9224368,0.0,,0.00012609306756805017,"x_course_year,c_course_year,xii_university_id"
UP202526000009115,0.9379438,0.0,,2.668777143305115e-05,"permanent_pincode,ip_to_mobile_ratio,sub_district_id"
GJ202526000009607,0.9313116,0.0,,0.00011245124651697335,"annual_family_income,age_at_registration,competitive_exam_year"
AS202526000009603,0.982353,0.0,,7.036700582625308e-05,"x_course_year,ip_to_mobile_ratio,competitive_exam_year"
AS202526000032934,0.9576237,0.0,,0.0005967452991139076,"x_course_year,vae_reconstruction_prob,competitive_exam_year"
MH202526000009605,0.95088637,0.0,,0.000904597374909911,"x_course_year,permanent_pincode,vae_reconstruction_prob"
CT202526000009671,0.98611534,0.0,,4.7869810155123216e-05,"x_course_year,vae_reconstruction_prob,competitive_exam_year"
KL202526000009779,0.9454353,0.0,,0.0003139674087899284,"x_course_year,tution_fee,permanent_pincode"
WB202526000009873,0.97998744,0.0,,0.00021770589614456885,"x_course_year,competitive_exam_year,x_university_id"
BR202526000030532,0.9765012,0.0,,0.010742821693733232,"x_university_id,x_course_year,xii_university_id"
PB202526000010124,0.95969427,0.0,,0.00017976507144427286,"annual_family_income,x_course_year,permanent_pincode"
AP202526000010146,0.9393583,0.0,,0.00012936365299801456,"annual_family_income,x_course_year,xii_university_id"
KA202526000010253,0.9615021,0.0,,4.6852342007614826e-05,"annual_family_income,x_course_year,xii_university_id"
AS202526000010277,0.9465973,3.0,"YF,YF_FLAG",0.9998127900569328,"is_applicant_name_eq_father,vae_reconstruction_prob,x_course_year"
BR202526000010421,0.9810894,0.0,,0.08921271025402297,"x_university_id,permanent_pincode,x_course_year"
BR202526000010406,0.94287497,0.0,,0.00012132469740264527,"annual_family_income,x_university_id,c_course_year"
TR202526000010718,0.940817,0.0,,0.0011596839454229692,"x_course_year,xii_university_id,misc_fee"
UP202526000010771,0.95380855,0.0,,0.0012376265466980346,"x_university_id,sub_district_id,permanent_pincode"
TN202526000357392,0.9207423,0.0,,0.0006589024219373996,"x_course_year,x_university_id,vae_reconstruction_prob"
AR202526000013140,0.94798726,0.0,,0.0003163056193913732,"religion,c_course_year,flag_income_below_20000"
UP202526000013209,0.9261806,0.0,,0.00021423550039277527,"x_university_id,permanent_pincode,xii_percentage"
AS202526000013222,0.9321039,0.0,,0.01804602692241869,"x_course_year,xii_university_id,flag_income_below_20000"
OR202526001478117,0.97859067,0.0,,0.002138340771631992,"x_course_year,entitled_lumpsump_amount,age_at_registration"
BR202526000013226,0.981892,0.0,,0.69312584646248,"x_university_id,xii_university_id,x_course_year"
KA202526000013494,0.97158325,0.0,,0.00025763347610372795,"annual_family_income,permanent_pincode,xii_university_id"
MH202526000013621,0.9775614,0.0,,0.025358291153151545,"x_course_year,permanent_pincode,entitled_lumpsump_amount"
TS202526001427200,0.97242534,0.0,,6.401412744109396e-05,"x_course_year,x_university_id,permanent_pincode"
AS202526000013895,0.9516275,0.0,,0.0002524999207119521,"c_course_year,misc_fee,flag_income_below_20000"
ML202526000013896,0.9771639,0.0,,0.000634272832442928,"pay_amt_state_shr,x_university_id,entitled_lumpsump_amount"
BR202526000014080,0.9884886,0.0,,0.0009405807623254903,"xii_university_id,x_university_id,vae_reconstruction_prob"
KA202526000014108,0.9439323,1.0,UW,0.9998495426975034,"flag_income_below_20000,vae_reconstruction_prob,xii_university_id"
TS202526002085203,0.9518121,0.0,,0.0002307511024812366,"x_course_year,x_university_id,permanent_pincode"
AS202526000014208,0.970654,0.0,,0.003026312193150313,"x_course_year,misc_fee,xii_university_id"
BR202526000014218,0.9754353,0.0,,0.0018728981864318745,"x_university_id,admission_fee,xii_university_id"
TS202526001377394,0.9642079,0.0,,0.0001066117822556137,"x_course_year,aadhaar_vault_ref_token,entitled_lumpsump_amount"
AS202526000014221,0.9814997,2.0,X9,0.7971170662049616,"x_course_year,entitled_lumpsump_amount,x_percentage"
BR202526000014326,0.96847385,0.0,,0.007968122449582376,"x_university_id,x_course_year,xii_university_id"
CT202526000014400,0.9629615,0.0,,0.0008836506833856653,"x_course_year,admission_fee,permanent_pincode"
TN202526000014397,0.95406705,0.0,,0.001603015906187187,"permanent_pincode,x_university_id,annual_family_income"
MH202526000014398,0.96467143,0.0,,0.0015042282345346942,"permanent_pincode,x_course_year,xii_university_id"
BR202526000014505,0.969494,0.0,,0.0009775551893844363,"x_university_id,admission_fee,parents_not_alive"
TS202526001412733,0.96503973,0.0,,0.00022813383994379615,"x_course_year,x_university_id,age_at_registration"
BR202526000014439,0.9481989,0.0,,0.004646000087460652,"x_university_id,state_verify_by,c_course_year"
AS202526000017622,0.9505177,0.0,,0.028983209440299144,"x_course_year,xii_university_id,age_at_registration"
KL202526000017640,0.9761116,0.0,,9.847871855097457e-05,"annual_family_income,xii_percentage,xii_university_id"
BR202526000017736,0.935063,0.0,,0.005928550050933887,"x_university_id,permanent_pincode,xii_university_id"
TS202526001418158,0.90858734,3.0,"X1,X1_FLAG",0.9980932591155631,"flag_prematric_age_over20,age_at_registration,vae_reconstruction_prob"
BR202526000010967,0.96606445,0.0,,0.008660769500676457,"x_university_id,x_course_year,xii_university_id"
SK202526000010937,0.96963793,0.0,,0.0010910513628828503,"xii_university_id,tution_fee,x_course_year"
KL202526000010784,0.9198378,0.0,,0.0003297268679902757,"c_course_year,tution_fee,vae_reconstruction_prob"
UT202526000010984,0.9358642,0.0,,4.655023694446979e-05,"misc_fee,village_id,sub_district_id"
